feature,tag
lanes:bus,
lanes:psv,
layer,
leaf_cycle,
leaf_type,
leisure,adult_gaming_centre
leisure,amusement_arcade
leisure,bandstand
leisure,beach_resort
leisure,bird_hide
leisure,common
leisure,dance
leisure,disc_golf_course
leisure,dog_park
leisure,escape_game
leisure,firepit
leisure,fishing
leisure,fitness_centre
leisure,fitness_station
leisure,garden
leisure,golfcourse
leisure,hackerspace
leisure,horse_riding
leisure,ice_rink
leisure,marina
leisure,miniature_golf
leisure,nature_reserve
leisure,park
leisure,picnic_table
leisure,pitch
leisure,playground
leisure,slipway
leisure,sports_centre
leisure,stadium
leisure,summer_camp
leisure,swimming_area
leisure,swimming_pool
leisure,track
leisure,water_park
lhv,
lit,
location,
man_made,adit
man_made,beacon
man_made,breakwater
man_made,bridge
man_made,bunker_silo
man_made,carpet_hanger
man_made,chimney
man_made,clearcut
man_made,communications_tower
man_made,crane
man_made,cross
man_made,cutline
man_made,dovecote
man_made,dyke
man_made,embankment
man_made,flagpole
man_made,gasometer
man_made,goods_conveyor
man_made,groyne
man_made,guard_stone
man_made,kiln
man_made,lighthouse
man_made,mast
man_made,mineshaft
man_made,monitoring_station
man_made,obelisk
man_made,observatory
man_made,offshore_platform
man_made,petroleum_well
man_made,pier
man_made,pipeline
man_made,pump
man_made,pumping_station
man_made,reservoir_covered
man_made,silo
man_made,snow_fence
man_made,snow_net
man_made,storage_tank
man_made,street_cabinet
man_made,surveillance
man_made,survey_point
man_made,tailings_pond
man_made,telescope
man_made,tower
man_made,wastewater_plant
man_made,water_tap
man_made,water_tower
man_made,water_well
man_made,water_works
man_made,watermill
man_made,wildlife_crossing
man_made,windmill
man_made,works
man_made,yes
maxaxleload,
maxheight,
maxlength,
maxspeed,
maxstay,
maxweight,
maxwidth,
military,bunker
minspeed,
mofa,
moped,
motor_vehicle,
motorboat,
motorcar,
motorcycle,
motorroad,
mountain_pass,
mtb_scale,
mtb:description,
mtb:scale:imba,
name,
name:left,
name:right,
narrow,
natural,arete
natural,bare_rock
natural,bay
natural,beach
natural,blowhole
natural,cape
natural,cave_entrance
natural,cliff
natural,coastline
natural,dune
natural,fell
natural,geyser
natural,glacier
natural,grassland
natural,heath
natural,hot_spring
natural,isthmus
natural,moor
natural,mud
natural,peak
natural,peninsula
natural,reef
natural,ridge
natural,rock
natural,saddle
natural,sand
natural,scree
natural,scrub
natural,shingle
natural,sinkhole
natural,spring
natural,stone
natural,strait
natural,tree
natural,tree_row
natural,valley
natural,volcano
natural,water
natural,wetland
natural,wood
noexit,
non_existent_levels,
note,
nudism,
office,accountant
office,advertising_agency
office,architect
office,association
office,charity
office,company
office,consulting
office,courier
office,coworking
office,diplomatic
office,educational_institution
office,employment_agency
office,energy_supplier
office,engineer
office,estate_agent
office,financial
office,financial_advisor
office,forestry
office,foundation
office,government
office,graphic_design
office,guide
office,harbour_master
office,insurance
office,it
office,lawyer
office,logistics
office,moving_company
office,newspaper
office,ngo
office,notary
office,political_party
office,property_management
office,quango
office,religion
office,research
office,surveyor
office,tax_advisor
office,telecommunication
office,visa
office,water_utility
office,yes
official_name,
old_name,
oneway,-1
oneway,no
oneway,yes
opening_hours,
operator,
organic,
oven,wood_fired&action=edit&redlink=1
overtaking,
parking:condition,
parking:lane,
passing_places,
place,allotments
place,archipelago
place,borough
place,city
place,city_block
place,continent
place,country
place,county
place,district
place,farm
place,hamlet
place,island
place,islet
place,isolated_dwelling
place,locality
place,municipality
place,neighbourhood
place,ocean
place,plot
place,province
place,quarter
place,region
place,sea
place,square
place,state
place,suburb
place,town
place,village
power,substation
priority_road,
produce,
proposed,
protected_area,
psv,
public_transport,platform
public_transport,station
public_transport,stop_area
public_transport,stop_position
railway,abandoned
railway,buffer_stop
railway,construction
railway,crossing
railway,derail
railway,disused
railway,funicular
railway,halt
railway,level_crossing
railway,light_rail
railway,miniature
railway,monorail
railway,narrow_gauge
railway,platform
railway,preserved
railway,rail
railway,railway_crossing
railway,razed
railway,roundhouse
railway,signal
railway,station
railway,subway
railway,subway_entrance
railway,switch
railway,tram
railway,tram_stop
railway,traverser
railway,turntable
railway,wash
railway:preserved,
railway:track_ref,
recycling_type,
ref,
religion,
residential,university
roadtrain,
route,bicycle
route,bus
route,canoe
route,detour
route,ferry
route,foot
route,hiking
route,horse
route,inline_skates
route,light_rail
route,mtb
route,piste
route,railway
route,road
route,running
route,ski
route,subway
route,tracks
route,train
route,tram
route,trolleybus
sac_scale,
service,alley
service,crossover
service,driveway
service,parking_aisle
service,siding
service,spur
service,yard
service_times,
shelter_type,
shop,agrarian
shop,alcohol
shop,anime
shop,antiques
shop,appliance
shop,art
shop,atv
shop,baby_goods
shop,bag
shop,bakery
shop,bathroom_furnishing
shop,beauty
shop,bed
shop,beverages
shop,bicycle
shop,boat
shop,bookmaker
shop,books
shop,boutique
shop,brewing_supplies
shop,butcher
shop,camera
shop,candles
shop,cannabis
shop,car
shop,car_parts
shop,car_repair
shop,caravan
shop,carpet
shop,charity
shop,cheese
shop,chemist
shop,chocolate
shop,clothes
shop,coffee
shop,collector
shop,computer
shop,confectionery
shop,convenience
shop,copyshop
shop,cosmetics
shop,craft
shop,curtain
shop,dairy
shop,deli
shop,department_store
shop,doityourself
shop,doors
shop,dry_cleaning
shop,e-cigarette
shop,electrical
shop,electronics
shop,energy
shop,erotic
shop,fabric
shop,farm
shop,fashion
shop,fashion_accessories
shop,fireplace
shop,fishing
shop,flooring
shop,florist
shop,frame
shop,frozen_food
shop,fuel
shop,funeral_directors
shop,furniture
shop,games
shop,garden_centre
shop,garden_furniture
shop,gas
shop,general
shop,gift
shop,glaziery
shop,golf
shop,greengrocer
shop,groundskeeping
shop,hairdresser
shop,hairdresser_supply
shop,hardware
shop,health_food
shop,hearing_aids
shop,herbalist
shop,hifi
shop,household_linen
shop,houseware
shop,hunting
shop,ice_cream
shop,interior_decoration
shop,jetski
shop,jewelry
shop,kiosk
shop,kitchen
shop,lamps
shop,laundry
shop,leather
shop,lighting
shop,locksmith
shop,lottery
shop,mall
shop,massage
shop,medical_supply
shop,military_surplus
shop,mobile_phone
shop,model
shop,money_lender
shop,motorcycle
shop,music
shop,musical_instrument
shop,newsagent
shop,nutrition_supplements
shop,optician
shop,organic
shop,outdoor
shop,outpost
shop,paint
shop,party
shop,pasta
shop,pastry
shop,pawnbroker
shop,perfumery
shop,pest_control
shop,pet
shop,pet_grooming
shop,photo
shop,pyrotechnics
shop,radiotechnics
shop,religion
shop,scuba_diving
shop,seafood
shop,second_hand
shop,security
shop,sewing
shop,shoes
shop,ski
shop,snowmobile
shop,spices
shop,sports
shop,stationery
shop,storage_rental
shop,supermarket
shop,swimming_pool
shop,tailor
shop,tattoo
shop,tea
shop,ticket
shop,tiles
shop,tobacco
shop,toys
shop,trade
shop,trailer
shop,travel_agency
shop,trophy
shop,tyres
shop,vacant
shop,vacuum_cleaner
shop,variety_store
shop,video
shop,video_games
shop,watches
shop,water
shop,weapons
shop,wholesale
shop,window_blind
shop,windows
shop,wine
shop,wool
sidewalk,
site,parking
ski,
smoothness,
social_facility,
sorting_name,
speed_pedelec,
start_date,
step_count,
substation,minor_distribution
surface,
tactile_paving,
tank,
tidal,
toilets:wheelchair,
toll,
tourism,alpine_hut
tourism,apartment
tourism,aquarium
tourism,artwork
tourism,attraction
tourism,camp_pitch
tourism,camp_site
tourism,caravan_site
tourism,chalet
tourism,gallery
tourism,guest_house
tourism,hostel
tourism,hotel
tourism,information
tourism,motel
tourism,museum
tourism,picnic_site
tourism,theme_park
tourism,viewpoint
tourism,wilderness_hut
tourism,yes
tourism,zoo
tracks,
tracktype,
traffic_calming,
traffic_sign,
trail_visibility,
trailblazed,
trailblazed:visibility,
tunnel,yes
turn,
type,site
usage,
vehicle,
vending,
voltage,
water,basin
water,canal
water,ditch
water,fish_pass
water,lagoon
water,lake
water,lock
water,moat
water,oxbow
water,pond
water,reflecting_pool
water,reservoir
water,river
water,stream_pool
water,wastewater
wheelchair,
wholesale,
width,
winter_road,
wood,
